model,threshold,precision_mean,precision_var,recall_mean,recall_var,f1_mean,f1_var,pos_acc_mean,neg_acc_mean
all-mpnet-base-v2,0.1,0.5808522171415428,0.0003101201082821329,0.9975484479754056,3.1814330240482153e-06,0.7340393941067751,0.000205550529566526,0.9975484479754056,0.28034296282874727
all-mpnet-base-v2,0.11,0.593444355680925,0.0003741014813964825,0.996420390049954,6.834078348191623e-06,0.7436927922492262,0.000252272247584994,0.996420390049954,0.31767120392749376
all-mpnet-base-v2,0.12,0.6082104071629375,0.000407285812396084,0.9947880431684201,6.082123239024536e-06,0.7547070629416103,0.00026511968798733656,0.9947880431684201,0.35952085273210826
all-mpnet-base-v2,0.13,0.6256701619740057,0.0002591534720847202,0.9931359682246848,7.946168252410202e-06,0.7675941050457847,0.00016667893758760867,0.9931359682246848,0.40609622569151743
all-mpnet-base-v2,0.13999999999999999,0.6431661213426649,0.00027675621899987235,0.9925842791753137,1.0946365503785187e-05,0.7804483727836915,0.00016894161380791282,0.9925842791753137,0.44949777236302085
all-mpnet-base-v2,0.14999999999999997,0.6613888283917019,0.0001526608891573105,0.9909736199161117,1.3675974579082126e-05,0.7932493418627404,8.631535724328677e-05,0.9909736199161117,0.4926244173749776
all-mpnet-base-v2,0.15999999999999998,0.6820686507995546,0.00015559581913647568,0.9896017854415307,1.9010687563620245e-05,0.8074916568973487,9.003179864390847e-05,0.9896017854415307,0.5388408294347637
all-mpnet-base-v2,0.16999999999999998,0.6984067384361063,0.00017967099441290789,0.9876753620752989,2.6782629621045447e-05,0.8181693090728752,0.0001051599631203102,0.9876753620752989,0.5736080202323
all-mpnet-base-v2,0.17999999999999997,0.7163211255634125,0.00019569870119152724,0.9857903543936002,3.185605838922959e-05,0.8296585894724222,0.0001066637076532686,0.9857903543936002,0.609752067710206
all-mpnet-base-v2,0.18999999999999995,0.7356999675275613,0.00016169653799045667,0.9846820245303499,4.259402628183813e-05,0.8421182096063999,8.779786028300227e-05,0.9846820245303499,0.6463274215377495
all-mpnet-base-v2,0.19999999999999996,0.7538982433823634,0.0002765559561257293,0.9830635136643598,3.622112039169198e-05,0.8532767061862353,0.00013920867077810506,0.9830635136643598,0.6794193741198826
all-mpnet-base-v2,0.20999999999999996,0.7725044422989192,0.0002475688061864964,0.9800317526392558,4.922785338085194e-05,0.8639299563093246,0.0001468417180205482,0.9800317526392558,0.71158823226095
all-mpnet-base-v2,0.21999999999999995,0.7908871174715797,0.000155310841672548,0.9775851523791695,4.4566984990454184e-05,0.8743479265474006,9.197891404597321e-05,0.9775851523791695,0.7415864374213729
all-mpnet-base-v2,0.22999999999999995,0.8102125881223682,0.0001568617803975546,0.9762083661400804,4.737060381905857e-05,0.8854705825298842,9.550601999225487e-05,0.9762083661400804,0.7714931243923845
all-mpnet-base-v2,0.23999999999999994,0.8274763432540923,0.00011354481276558141,0.9729850880615458,3.704920285597363e-05,0.8943284455026766,6.616193909610366e-05,0.9729850880615458,0.797238998595672
all-mpnet-base-v2,0.24999999999999992,0.8455782471653581,3.69193732254112e-05,0.9702552551279278,4.376872760880273e-05,0.9036176095345635,2.3322355907846154e-05,0.9702552551279278,0.822561180488887
all-mpnet-base-v2,0.2599999999999999,0.8615564939756697,9.338648606446712e-05,0.9656266708591652,4.2520076051872766e-05,0.9106021889761863,5.024012597685928e-05,0.9656266708591652,0.8445945477867894
all-mpnet-base-v2,0.2699999999999999,0.8713126917968003,9.199416867892054e-05,0.9612595392795049,4.946810729659593e-05,0.9140571332645928,5.518039544647499e-05,0.9612595392795049,0.8579913752807198
all-mpnet-base-v2,0.2799999999999999,0.8824201195928041,5.7983085516584194e-05,0.9578042687451565,3.736339449546277e-05,0.91855175901484,3.4342293093144194e-05,0.9578042687451565,0.8723947615481542
all-mpnet-base-v2,0.2899999999999999,0.8926754325902613,6.917644137884182e-05,0.9534954600657825,2.6556432232444224e-05,0.9220705280499131,3.823226009131784e-05,0.9534954600657825,0.8854787852889222
all-mpnet-base-v2,0.29999999999999993,0.9040108009217374,3.4626897062012485e-05,0.9491520680306824,2.5410006335192017e-05,0.9260242591945922,2.362304036049929e-05,0.9491520680306824,0.8992912405326432
all-mpnet-base-v2,0.30999999999999994,0.9140949832074681,4.8318273771250794e-05,0.945284273642596,4.305183232685461e-05,0.9294129880875026,3.201276292986256e-05,0.945284273642596,0.9112600165089324
all-mpnet-base-v2,0.3199999999999999,0.9233506293134799,2.8910628068916102e-05,0.9422742002398236,6.506291787866033e-05,0.9327015256303277,3.2695695545901214e-05,0.9422742002398236,0.9218044910766471
all-mpnet-base-v2,0.32999999999999985,0.9366690246591041,1.1263674179145338e-05,0.9376811396089366,6.77164987547432e-05,0.9371541462622177,2.0081232367516792e-05,0.9376811396089366,0.9363198517959962
all-mpnet-base-v2,0.33999999999999986,0.9430054130222416,2.6550897607851594e-05,0.9320408928615336,4.5702685142476116e-05,0.9374781385368426,2.4167362958109512e-05,0.9320408928615336,0.9433786943523392
all-mpnet-base-v2,0.34999999999999987,0.9469777301976355,2.4318811497329024e-05,0.9281810424423333,6.784647618351895e-05,0.9374601981399199,2.3366316240715214e-05,0.9281810424423333,0.9477192545420106
all-mpnet-base-v2,0.3599999999999999,0.9510182655007082,2.350757617749933e-05,0.9208492646267926,8.403481604141787e-05,0.9356705055306389,3.657164510056661e-05,0.9208492646267926,0.9523877186151329
all-mpnet-base-v2,0.3699999999999999,0.9561142264555231,2.3211571830969723e-05,0.9156028034353181,0.00014826344748777466,0.9353838617034912,5.651783495593481e-05,0.9156028034353181,0.9578419630121726
all-mpnet-base-v2,0.3799999999999999,0.9603851625390722,1.3478857455911279e-05,0.9069702384209475,0.0001578141214772554,0.9328730300978265,5.456912998504001e-05,0.9069702384209475,0.9624579001409923
all-mpnet-base-v2,0.3899999999999999,0.965103077554043,2.2157835336108568e-05,0.8996581096717765,0.00014356152657026206,0.9311992190735328,5.925906404490337e-05,0.8996581096717765,0.9673483597640358
all-mpnet-base-v2,0.3999999999999998,0.9719258179986504,2.509773910948069e-05,0.8904165653519961,0.00014589458027795222,0.9293338382754127,4.459938922647126e-05,0.8904165653519961,0.9741579882913628
all-mpnet-base-v2,0.4099999999999998,0.976350478135154,2.8043143484273266e-05,0.8839048539658336,0.0001652316079587554,0.9277649776740906,4.696481882580137e-05,0.8839048539658336,0.9785501348630714
