model,threshold,precision_mean,precision_var,recall_mean,recall_var,f1_mean,f1_var,pos_acc_mean,neg_acc_mean
all-mpnet-base-v2,0.1,0.5808846761453397,0.0,0.99755832881172,0.0,0.7342252396166135,0.0,0.99755832881172,0.28024959305480196
all-mpnet-base-v2,0.11,0.5934722895459686,0.0,0.9964731416169289,0.0,0.7438987341772152,0.0,0.9964731416169289,0.3174172544763972
all-mpnet-base-v2,0.12,0.6082269033007133,0.0,0.9948453608247423,0.0,0.7549150797735461,0.0,0.9948453608247423,0.35919696147585456
all-mpnet-base-v2,0.13,0.6258119658119659,0.0,0.9932175800325557,0.0,0.7678271812080537,0.0,0.9932175800325557,0.4061313076505697
all-mpnet-base-v2,0.13999999999999999,0.6432841068917018,0.0,0.9926749864351601,0.0,0.7806699381267335,0.0,0.9926749864351601,0.44953879544221376
all-mpnet-base-v2,0.14999999999999997,0.6615356754798986,0.0,0.9910472056429734,0.0,0.7934404865334492,0.0,0.9910472056429734,0.49294628323385786
all-mpnet-base-v2,0.15999999999999998,0.6822517299420235,0.0,0.9896907216494846,0.0,0.8077050813683162,0.0,0.9896907216494846,0.5390667390124797
all-mpnet-base-v2,0.16999999999999998,0.6985801995395242,0.0,0.9877916440586001,0.0,0.8183861541919533,0.0,0.9877916440586001,0.5737927292457949
all-mpnet-base-v2,0.17999999999999997,0.7164826498422713,0.0,0.9858925664677157,0.0,0.8298698332952729,0.0,0.9858925664677157,0.609875203472599
all-mpnet-base-v2,0.18999999999999995,0.7358605311169674,0.0,0.9848073792729246,0.0,0.8423250957187609,0.0,0.9848073792729246,0.6465002712967987
all-mpnet-base-v2,0.19999999999999996,0.7540574282147315,0.0,0.9831795984807379,0.0,0.8535091851154027,0.0,0.9831795984807379,0.6793271839392295
all-mpnet-base-v2,0.20999999999999996,0.7726689478186484,0.0,0.9801953336950624,0.0,0.8641473331738818,0.0,0.9801953336950624,0.7116115029842648
all-mpnet-base-v2,0.21999999999999995,0.7910447761194029,0.0,0.9777536625067824,0.0,0.8745450133462752,0.0,0.9777536625067824,0.7417254476397178
all-mpnet-base-v2,0.22999999999999995,0.8104030623733394,0.0,0.9763971785132936,0.0,0.8856896763873509,0.0,0.9763971785132936,0.7715680954964731
all-mpnet-base-v2,0.23999999999999994,0.8276419012459622,0.0,0.9731416169289202,0.0,0.8945137157107232,0.0,0.9731416169289202,0.7973412913727618
all-mpnet-base-v2,0.24999999999999992,0.8456264775413712,0.0,0.9704286489419425,0.0,0.9037392622536634,0.0,0.9704286489419425,0.8228431904503527
all-mpnet-base-v2,0.2599999999999999,0.861568247821878,0.0,0.9658166033640803,0.0,0.9107188539268355,0.0,0.9658166033640803,0.8448182311448725
all-mpnet-base-v2,0.2699999999999999,0.871403983280059,0.0,0.9614758545849159,0.0,0.9142267509351218,0.0,0.9614758545849159,0.8581117742810634
all-mpnet-base-v2,0.2799999999999999,0.8825293676580854,0.0,0.9579489962018448,0.0,0.9186938987901652,0.0,0.9579489962018448,0.8724905046120456
all-mpnet-base-v2,0.2899999999999999,0.8928117856235712,0.0,0.9536082474226805,0.0,0.9222091040272858,0.0,0.9536082474226805,0.8855127509495387
all-mpnet-base-v2,0.29999999999999993,0.9041343669250645,0.0,0.949267498643516,0.0,0.9261514028586554,0.0,0.949267498643516,0.8993488876831254
all-mpnet-base-v2,0.30999999999999994,0.914218258132214,0.0,0.9454693434617472,0.0,0.9295812216591091,0.0,0.9454693434617472,0.9112859468258274
all-mpnet-base-v2,0.3199999999999999,0.9234449760765551,0.0,0.9424850786760717,0.0,0.9328678839957035,0.0,0.9424850786760717,0.9218665219750407
all-mpnet-base-v2,0.32999999999999985,0.9366025467353021,0.0,0.9378730330982095,0.0,0.9372373593601735,0.0,0.9378730330982095,0.9365165491047206
all-mpnet-base-v2,0.33999999999999986,0.9429198682766191,0.0,0.9321758003255561,0.0,0.9375170532060028,0.0,0.9321758003255561,0.9435702658708627
all-mpnet-base-v2,0.34999999999999987,0.9468732706142778,0.0,0.9283776451437873,0.0,0.9375342465753425,0.0,0.9283776451437873,0.9479110146500271
all-mpnet-base-v2,0.3599999999999999,0.9509803921568627,0.0,0.9210526315789473,0.0,0.9357772877618522,0.0,0.9210526315789473,0.9525230602278894
all-mpnet-base-v2,0.3699999999999999,0.9561030869442084,0.0,0.9158979924036896,0.0,0.9355687958985728,0.0,0.9158979924036896,0.9579489962018448
all-mpnet-base-v2,0.3799999999999999,0.9603676048248133,0.0,0.9072164948453608,0.0,0.9330357142857143,0.0,0.9072164948453608,0.962561041779707
all-mpnet-base-v2,0.3899999999999999,0.9650858306662787,0.0,0.8998914812805209,0.0,0.9313491506387758,0.0,0.8998914812805209,0.967444384156267
all-mpnet-base-v2,0.3999999999999998,0.9718768502072233,0.0,0.8906673901247966,0.0,0.9295016987542469,0.0,0.8906673901247966,0.9742268041237113
all-mpnet-base-v2,0.4099999999999998,0.9763331336129418,0.0,0.8841562669560499,0.0,0.9279612756264237,0.0,0.8841562669560499,0.9785675529028758
all-mpnet-base-v2,0.4199999999999998,0.9790591805766312,0.0,0.8752034725990233,0.0,0.9242228907033376,0.0,0.8752034725990233,0.9812805208898535
all-mpnet-base-v2,0.4299999999999998,0.9809230769230769,0.0,0.8648941942485079,0.0,0.9192618223760092,0.0,0.8648941942485079,0.9831795984807379
all-mpnet-base-v2,0.43999999999999984,0.9831091648420394,0.0,0.852685838307108,0.0,0.9132645648699695,0.0,0.852685838307108,0.9853499728703201
